id,nama,alamat,latitude,longitude,telepon
20,PR Agustina,"Ujong Nga, Ujong Nga, Samatiga",4.2390557,96.0639482,
21,PR Agustiranda,"Dusun Cot Kumbang, Blang Mee, Woyla",4.2793391,95.97003989999999,
22,PR Ahlawati,"makmur	sentosa, Makmur Sentosa, Bandar",4.7436567,96.9115221,
23,PT Aica Mugi Indonesia,"Jl. Raya Medan Banda Aceh km 7, desa Alur dua Bakaran Batee, Alue Dua, Langsa Baro",4.5238433,97.9538378,0641440087
24,PT Aica Mugi Indonesia,"Jl.Raya Medan Banda Aceh Km 7 Desa Alur Dua Bakaran Batee, Alue Dua, Langsa Baro",4.5238433,97.9538378,0641440087
25,PERUM Air Minum Tirta Pase,"Jalan Medan - B. Aceh No. 1, Meunasah  Reudeup, Lhoksukon",5.090113199999999,97.34738689999999,
26,PR Aiyub Benseh,"Jurong Bay Pass, Cot Ba U, Sukajaya",5.8812392,95.3337801,
27,PR Ajrori,"Jl. Imam Bonjol, Suak Raya, Johan Pahwalan",4.1661916,96.1190636,
28,PR Ajrul Ulya,"TEUPIN BATEE, Teupin Batee, Blang Bintang",5.530062399999999,95.4659858,
29,PR Akhmaddani,"Jl.KH. Agus salim jurong pante jaya, Ie Meulee, Sukajaya",5.8875042,95.3441316,
30,PR Aldy Meutuah,"Lorong Asrama Putri No.9, Gampong Baro, Kota Juang",5.1912791,96.4894202,082275903778
31,PR Alhamdulillah,"Desa Cot Pluh, Cot Pluh, Samatiga",4.2134336,96.0798344,
32,CV Alila Group,"Jln KLK lorong Pistol, Lapang, Johan Pahwalan",4.1811979,96.1288426,
33,PT Alya Utama Sejahtera,"Jl. MR. Mohd Hasan, Blang Cut, Lueng Bata",5.5446653,95.3302706,
34,CV Ami-qu,"Jalan Flamboyan Nomor 15, Kel. Sungai Pauh, Kec. Langsa Barat, provinsi Aceh, Sungai Pauh, Langsa Barat",4.4826256,97.98653499999999,
35,PR Aminah,"Desa Lut Kucak, Lut Kucak, Wih Pesam",4.7164692,96.80160959999999,
36,PR Amiruddin,"Ie Itam Tunong, Ie Itam Tunong, Woyla",4.338786799999999,96.0427732,
37,UD Amirullah,"Gp cot alue, Ingin jaya",5.4993536,95.395264,
38,PT Perorangan Andari,"Jl  Keuchik Amik Lr. Melati no.23D, Meunasah  Krueng, Ingin Jaya",5.5266638,95.3568902,
39,PR Andi Firdaus,"jalan terminal balohan, Balohan, Sukajaya",5.8302946,95.3462642,
40,PR Andre Kurniawan,"Jl. Singgah Mata 2, Seuneugok, Johan Pahwalan",4.1568071,96.1202526,
41,PT Boenk Cosmetic Manufacture,"JL. KARYA DUSUN IX, Marendal  I, Patumbak",3.4692766,98.7129823,0618521785574
42,PT Dua Landak Persada,"Jl. Deblod sundoro no 31, Bagelen, Padang Hilir",3.318023,99.1614194,
43,PT Sedata Jaya Mas,"JALAN MARTINUS LUBIS, Rantauprapat, Rantau Utara",2.1025178,99.8344735,
44,UD Yanti Ulos,"kelurahan baringin, Baringin, Sipirok",1.583421,99.29103289999999,
45,PR 3r Cake Cookies,"Jl. Bayam Gg Sunar Lk. III, Paya Roba, Binjai Barat",3.6196896,98.4849986,
46,UD Ab Coffee,"DUSUN RI NABOLAK, Kilang Papan, Sipirok",1.5187687,99.3076688,
47,PT Abadi Beton Perkasa,"Jl P Sumatera No 3, Kota Bangun, Medan Deli",3.667053299999999,98.66872479999999,0616855266
48,PT Abadi Medan Jaya Sempurna,"Jl. Pulau Pamagaran Komp. Pergudangan Solid Blok D-03 KIM III, Tangkahan, Medan Labuhan",3.6815839,98.7019996,
49,PT Abadi Protesa Mata Medan,"Jalan Lingkar Tuktuk, Tuktuk Siadong, Simanindo",2.668514,98.8520261,
50,PR Abbas Nasution,"SIBAGASI, Sibagasi, Padang Bolak",1.5639757,99.62021659999999,
51,PR Abdi Prawira,"Jl. Raja Inal Siregar, Batunadua  Julu, Padangsidimpuan
Batunadua",1.4232076,99.2907015,
52,PT Abdi Wibawa Press,"JALAN KAPTEN M. BASRI NO.41, GLUGUR DARAT II, MEDAN TIMUR",3.6137216,98.6763347,0616636800
53,PR Abdul Hakim Caniago,"AFULU, Afulu, Afulu",1.2638546,97.2450477,
54,PR Abdul Jalil,"GUNUNG MANAON, Sori Manaon, Angkola Muara Tais",1.2945597,99.3492732,
55,PR Abdul Kadir,"Huta 1 Dolok Malela, Dolok Malela, Gunung Malela",3.0268259,99.15601099999999,
56,PR Abdul Rahim,"DUSUN SIDODADI N, Kampung Padang, Pangkatan",2.1605434,100.0471549,
57,PR Abdul Wahid Harahap,"DUSUN AEK SABAON JULU, Aek Sabaon, Marancar",1.522732,99.2203687,
58,PR Abdullawali Harahap,"DESA SIGAMA UJUNG GADING, Sigama Ujung Gading, Padang Bolak",1.4543043,99.586822,
59,PT ABLE COMMODITIES INDONESIA,"JALAN KAPT. ILYAS (D/H) JALAN JERMAL RAYA NOMOR 20, SEI MATI, MEDAN LABUHAN",3.7257852,98.6844929,06142068888
60,PR Abraham Sidabutar,"Jalan Dolok Sanggul  Siborong- Borong, Pasaribu, Dolok Sanggul",2.2667576,98.7653651,081270299296
61,PR Achmad Marzuki Lubis,"Jl. Sei Asahan No. 5, Merdeka, Medan Baru",3.5710281,98.6578859,081264957422
62,PR Achrina,"Jl. Rawa Gg. Danau Poso No.1, Tegal S Mandala I, Medan Denai",3.5830171,98.7065286,
63,PR Ade Aisyah,"KAMPUNG PADANG, Kampung Padang, Panyabungan",0.8725065,99.56108929999999,
64,PR Ade Kemri Ardiansyah Putra Sipahutar,"JL. BELIBIS NO. 17 RANTAUPRAPAT, Bakaran Batu, Rantau Selatan",2.086973,99.85167179999999,
65,PR Ade Putri Tambunan,"Pasar Sipagimbar, Pasar Sipagimbar, Saipar Dolok Hole",1.8339666,99.3534348,
66,PR Ade Saputra Jamil Aceh,"DUSUN II WALO, Afulu, Afulu",1.2638546,97.2450477,
67,PR Ade Susanto,"Dusun I Sei Tualang, Sei Tualang, Berandan Barat",3.9925196,98.2158297,
68,PT Adei Crumb Rubber Industry,"Jalan Imam Bonjol no. 33 Tebing Tinggi, Satria, Padang Hilir",3.3326272,99.1699495,062121166
69,PR Adi Muhammad Tohar Harahap,"GUNUNGTUA TONGA, Gunung Tua Tonga, Padang Bolak",1.5113203,99.64248719999999,
70,CV Adi Perima,"jalan Setia Jadi No.41 - Krakatau, Glugur Darat I, Medan Timur",3.618863199999999,98.68286479999999,0616628782
71,PR Adi Rahmat,"jl.sri gunting blok p17, Sunggal Kanan, Sunggal",3.5705363,98.5807761,081264442383
72,PR Adi Saputra Pandiangan,"sosor tambok, Sosor Tambok, Dolok Sanggul",2.2470671,98.6490584,
73,PR Adi Wandana,"Jl. Perjuangan, Kotapinang, Kotapinang",1.8966578,100.0871582,
74,CV Adian Nasonang,"DUSUN ADIAN NASONANG, Sihuik-huik, Angkola Selatan",1.3190485,99.18073779999999,
75,PT Adiguna Makmur,"DUSUN I, DESA GUNUNG MANUPAK B, STM HULU",3.1936045,98.7013233,
76,PR Adilman Reliance Hia,"Tugala Gawu, Tugala Gawu, Sirombu",0.9501019999999999,97.4435441,
77,PT Adimulia Sarimas Indonesia,"Jl. Pelita Raya No. 9A-C KIM Star, Tanjung Morawa B, Tanjung Morawa",3.5384267,98.8144561,0617945902
78,PR Adriyus,"JL SM RAJA G KELUARGA NO 23/67-, Kotamatsum  III, Medan Kota",3.5762912,98.6875814,
79,PR Advendri Zebua,"JL. ARAH NIAS TENGAH KM. 6, 1, Fodo, Gunungsitoli  Selatan",1.2465265,97.63951139999999,082285631992
80,PR Ady Susanto,"Pasar 6, Melati II, Perbaungan",3.5225428,98.9742237,081260364121
81,PR KARTINI,"JORONG PALUPUH, Desa/Kelurahan Pasia Laweh, Pasia Laweh, Palupuh",-0.128661,100.3273368,
82,PR 2 Putri Ibu Susi,"Simpang Tigo Aur Malintang, III Koto Aur Malintang
Selatan, IV Koto Aur Malintang",-0.3806509,100.0821984,
83,CV 2 Saudara,"Jln. Cisadane no. 19, RT. 003, RW. 003, Alai Parak Kopi, Padang Utara",-0.9281784,100.3666757,081363556839
84,PR 5 Saudara,"KAMPUANG TANGAH BALAI BAIK, Balai Baiak Malai III Koto, IV Koto Aur Malintang",-0.3913923,100.0509728,
85,PR Aan Teknik,"Jorong Bamban, IV Koto Palembayan, Palembayan",-0.3372077,100.3530535,
86,PT Abaisiat Raya,"JL RAYA PADANG PAINAN KM 9 SEI BEREMAS, Gates Nan XX, Lubuk Begalung",-0.9559431,100.4027391,075162079
87,PR Abati Kitchen,"jln. birugo puhun no.45 rt.02 rw.05, Birugo, Aur Birugo Tigo Baleh",-0.3201395,100.3709841,
88,PR Abdul Haris,"Jorong Pulau Punjung, Empat Koto Pulau
Punjung, Pulau Punjung",-0.9571637999999999,101.5041856,
89,PR Abdul Rahman,"Jorong Gantiang, Sirukam, Payung Sekaki",-0.9365493,100.7887231,
90,PT Abro Prima Makmur,"Jalan Rasuna Said No. 73, Kampung Manggis, Padang Panjang Barat",-0.4661555,100.3919732,
91,PT Abro Prima Makmur,"Jalan Kayu Belanti, Kelurahan Koto Marapak, Kecamatan Pariaman Timur, Provinsi, Koto Marapak, Pariaman Timur",-0.5936496,100.1418511,
92,PR Abu Sanir,"Komplek Pusat Pasar Produksi No.10 Terminal Jati, Jati Mudik, Pariaman Tengah",-0.6187786,100.1423851,085263218339
93,PR Ade Candra,"Jl Yos Sudarso no 460 RT 02 RW 03, Kampung Jawa, Tanjung Harapan",-0.7836021,100.6517989,
94,PR Ade Firman,"Sawah Padang, Jorong Sijangek, Nagari Simpuruik, Kecamatan Sungai Tarab, Simpuruik, Sungai Tarab",-0.4465721,100.5791055,
95,PR Ade Irma Suryani,"DURIAN TIGO CAMPANG, Alam Pauh Duo, Pauh Duo",-1.5398147,101.1277659,
96,PR Ade Prima Pera,"JORONG SAMPU, Lubuk Gadang, Sangir",-1.5986965,101.2899241,
97,PR Ade Putra Utama,"KOTO TARATAK, Koto Taratak, Sutera",-1.5373563,100.6315094,
98,PR Adek Saputra,"JORONG AIE DALIAK, Lolo, Pantai Cermin",-1.2187759,100.8564355,
99,PR Adelia Sri Handini,"TANJUNG SARI, Aur Mulio, Lembah Segar",-0.6804663999999999,100.7957742,
100,PR Adella Dwi Sintia,"Jorong Koto Gadang, Sungai Dareh, Pulau Punjung",-0.971599,101.5361726,
101,PR Aditio Hidayat Ramadhan,"JL. MAYOR RASYID, Ujung Batung, Pariaman Tengah",-0.6363935,100.1349815,
102,PR Aditya Arizona,"TAROK KAPALO HILALANG, Kapalo Hilalang, 2x11 Kayu Tanam",-0.5431599,100.2947665,
103,PR Aditya Fernanda,"Jorong Minang Jaya, Nagari Minang Kabau, Kecamatan Sungayang, Minang Kabau, Sungayang",-0.4164394,100.5924367,
104,PR Adlastri Fadwati Matanari,"Kalampaian, Pasir Talang Selatan, Sungai Pagu",-1.4795262,101.0531867,
105,PR ADRI FIZA,"Jorong Batu Karak, Dilam, Bukit Sundi",-0.8953197999999999,100.7195201,
106,PR Adrimal,"JL. SURAU KARIANG PULAI, Lubuk Basung, Lubuk Basung",-0.3132513,100.0265432,
107,PR Adzkia Rahma Fitri,"Jorong Koto Kaciak Nagari Magek, Magek, Kamang Magek",-0.2471738,100.442061,
108,PD Afendi,"Pasa Kandang, Nagari Balah Hilia
Lubuk Alung, Lubuk Alung",-0.686395,100.2919126,
109,PR Afgita Sugita,"Jorong kampung alai nomor 104, Jambak, Lubuk Sikaping",0.1195531,100.0695367,
110,PR Afni Gusmira,"JL. TARATAK LUBUK GADANG, Lubuk Gadang, Sangir",-1.5372843,101.2512819,
111,PR Afni Sahara,"JL. SYEKH BURHANUDDIN, Karan Aur, Pariaman Tengah",-0.6418855,100.1285793,
112,PR Afniar Yunita,"Perhentian Bendi Jorong Koto PAnjang, Muaro Paneh, Bukit Sundi",-0.7905264,100.6605503,
113,PR Afri Nerawati,"Empat koto Pulau punjung, Empat Koto Pulau
Punjung, Pulau Punjung",-0.9482801,101.5077573,
114,PR Afri Sania Wasih,"TIRAM ULAKAN, Seulayat Ulakan, Ulakan Tapakih",-0.7030137,100.2088951,
115,PR Afri Yeni,"Jl. Nurul Falah No.71 Jorong Gelanggang Tangah Selayo, Selayo, Kubung",-0.8012718,100.6575182,
116,PR Afriani Panko,"KAMPUNG JAWI JAWI, Balai Baiak Malai III Koto, IV Koto Aur Malintang",-0.4142827,100.0611353,
117,PR Afrida Susanti,"Watas, Pisang, Pauh",-0.9400609999999998,100.4087543,
118,PR Afrimon,"Perumnas Hannah Syariah Lestari No. 25, Salido, IV Jurai",-1.3447921,100.5782687,
119,PR Afritayeni,"Silambau, Jr. Langgam Sepakat, Kinali, Kinali",-0.05099219999999999,99.89530370000001,
120,PR Afriyani,"KORONG SUNGAI PINANG, Kasang, Batang Anai",-0.8012007,100.3120939,
121,PT Agro Murni,"Dumai, Tanjung Penyebal, Sungai Sembilan",1.6666349,101.4001855,02145848194
122,PT MAHADY TEKNOLOGI RIAU,"Jl. Lingkar Pasir Putih, Pangkalan  Baru, Siak Hulu",0.4031766,101.5235629,
123,CV Aa Santa Internasional Tailor,"Jl. KH. A Dahlan, Sukajadi, Sukajadi",0.5201751,101.4384024,
124,PR Aara Kitchen,"Jl. Alam raya perumahan graha alam raya blok A no 15 rt.002 rw.007, Sialangsakti, Tenayan Raya",0.4455181,101.4292949,
125,PR Abu Zain Kitchen,"jl. limbungan gg. pisang 1, Limbungan, Rumbai",0.5707222,101.4656397,
126,PR Ade Surya Ningsih Tambunan,"BTN TPI Jl. Pepaya No. 15 Blok. B, Perawang Barat, Tualang",0.6748099,101.5946141,
127,PT Adei Plantation & Industry,"Jl Raya Pekanbaru Km. 110 (Simpang Intan), Tengganau, Pinggir",1.1109945,101.279653,0761571885
128,PT Adei Plantation & Industry,"Komplek Pertokoan Taman Anggrek Blok B2-B5, Jl. Tuanku Tambusai, Labuh Baru Timur, Payung Sekaki",0.5043797,101.4288445,0761571885
129,PT Adhitya Serayakorita,"JL. Cut Nyak Dien, Bangsal Aceh, Sungai Sembilan",1.7252458,101.3749707,076132888
130,PT Adigraha Wiranusa,"JL. YOS SUDARSO KM. 17, Muarafajar  Barat, Rumbai Barat",0.6450176,101.4309862,076141844
131,PT Adimulia Agrolestari,"DESA SUKAMAJU, Suka Maju, Singingi Hilir",-0.1419697,101.3828247,076125523
132,PT Adinaga Sindo Jaya,"JALAN LINTAS TIMUR, DESA BARU, SIAK HULU",0.421353,101.5389339,00000
133,PR Afniati,"Jln Budi luhur, Sialangsakti, Tenayan Raya",0.4905555999999999,101.5289444,
134,PR Afrianto,"Kampung Baru Pekan Tebih, Pekan Tebih, Kepenuhan Hulu",1.0125157,100.5408622,
135,PR Afrinawati,"Harapan raya jln Sidodadi, Tangkerang Utara, Bukit Raya",0.5016852,101.4767907,
136,PT Agro Abadi,"Jalan Lingkungan Desa, Lubuk Siam, Siak Hulu",0.4155917,101.4196825,076137555
137,PT Agro Sarimas Indonesia,"Jl. Lintas Rengat-Tembilahan, Desa  Sungai Gantang, Kempas",-0.5247942,102.914587,0768326123326888
138,PT Agung Bumi Lestari,"Jl. Pasir Putih KM. 14 Dusun 1 RT 004 RW 002, Desa Baru, Siak Hulu",0.4171286,101.5025458,
139,PR Agus Sudarso,"Jl. Garuda Sakti KM.4, Simpangbaru, Tampan",0.4926791999999999,101.3519038,
140,PR Aguslindawati,"Jl. Markisa Gg. Kampe, Pangkalan Kerinci
Kota, Pangkalan  Kerinci",0.3901296,101.8534512,
141,PR Agussalim,"Jl. Gunung Merbabu, Bumi Ayu, Dumai Selatan",1.6525044,101.434891,
142,PT Aha Konstruksi Jayaabadi,"JL. ABADI NO 99, TOBEK GODANG, TAMPAN",0.4704669,101.4167939,07616708681
143,PT Aha Konstruksi Jayaabadi,"jl Abadi No 99, Tobekgodang, Binawidya",0.4704669,101.4167939,
144,PT Air Kampar,"Jl. PTPN V - Bangkinang KM 9, Pulau Birandang, Kampa",0.54858,101.229978,
145,PR Al Manna,"JALAN KOMPAS, Pasir Agung, Bangun Purba",0.9193926000000001,100.2487967,081365223819
146,PT Alam Inti Raya,"Jl. Kuantan v No 1, Sekip, Lima Puluh",0.5321572999999999,101.4620216,
147,PT ALAM PERMATA RIAU,"JL. Persawahan / Pasir Putih, Desa Baru, Siak Hulu",0.4171286,101.5025458,7876641
148,PT Alam Riau Bertuah,"Simpang Kambing RT.002 RW.002, Teratak Buluh, Siak Hulu",0.3974234,101.4197205,
149,PT Alam Siak Lestari,"Jl. Tengku Buang Asmara, Kampung Rempak, Siak",0.8105078,102.0443537,
150,PT Aldira Trics Indonesia,"JL. BUKIT INDAH, Sialangsakti, Tenayan Raya",0.4973432,101.5077762,
151,CV Almulk Kampar Riau,"Dusun Ranah Singkuang Utara, Ranah Singkuang, Kampar",0.2593791,101.1305962,
152,PT Amanah Sigap Abadi,"Jl. Paus Gang Masjid Urwatul Wutsqo No. 07, Limbungan  Baru, Rumbai",0.5693316,101.4381004,07618050954
153,PR Amdani,"JL.H.ARIFIN AHMAD GG.LANCAR, Jaya Mukti, Dumai Timur",1.6578112,101.4532895,
154,CV Amri Jaya Dinamika,"Jl.Garuda Sakti, Simpangbaru, Binawidya",0.4833036,101.3621707,076162513
155,CV Amuayaken,"Jl. Citra Sari No. 167, Tuahkarya, Binawidya",0.4599013,101.3757475,
156,"PR Ana Nur Eka Prapti, SH","SIMPANG PANIK, Ujung Batu, Ujung Batu",0.7151427,100.5296728,082134599166
157,PT Anax Industries Indonesia,"Jalan Raya Pasir Putih nomor 9, Pergudangan Angkasa 3, Blok G4, G5, G6, Pandau Jaya, Siak Hulu",0.430933,101.466918,
158,PT Anax Industries Indonesia,"Kawasan Industri Eco Green Block G-23, Jl. Soekarno hatta KM 14, Perhentianmarpoyan, Marpoyan Damai",0.4292322,101.4299769,
159,PT Andalas Pekan Makmur,"Jl.Lintas Timur Pekanbaru-Jambi KM.15, Kulim, Tenayan Raya",0.4739394,101.5395977,
160,PT Anderson Unedo,"Jl. Raya Petapahan Dusun II, Desa Petapahan, Tapung",0.6321686,100.9656543,
161,PR A.Aspur,"Perum Mutira Selatan NO. F 08, Kenali Asam Bawah, Kota Baru, Kota",-1.6694559,103.6111355,
162,PR A.d Geno Alvio,"MUKAI MUDIK, Mukai Mudik, Siulak Mukai",-1.9615653,101.3548071,
163,PR Abdu Rasid,"Perumahan Garuda Tiga jaya, Bagan Pete, Alam Barajo, Kota",-1.6529317,103.55495,
164,PR Abdul Azis,"Rantau Suli, Rantau Suli, Jangkat Timur",-2.5668686,101.9747534,
165,PR Abdur Rahman,"DESA	BATIN, Desa/Kelurahan	Batin, Kec.	Bajubang, Kab.	Batanghari, Batin, Bajubang",-1.7349377,103.3477415,081291786556
166,PR Abu Sofyan,"PERUM	PALEM	3	NO	A-06	HUTAN	LINDUNG, Desa/Kelurahan	Rengas Condong, Kec.	Muara	Bulian, Kab.	Batanghari, Provinsi, Rengas Condong, Muara Bulian",-1.711803,103.2721197,
167,PR Abun Yani. A,"Mendalo Laut Desa Menddalo Laut Kec, Luar Kota, Mendalo Laut, Luar Kota, Kabupaten Muaro",-1.5834852,103.5336998,
168,PR Ade Irawan,"TEBING TINGGI, Kelurahan Tebing Tinggi Kecamatan Tebo Tengah, Tebing Tinggi, Tebo Tengah",-1.4603444,102.442357,
169,PR Ade Lukman,"Jln. Penerangan Perumahan Blerent Vila II Block C no. 14, Bagan Pete, Alam Barajo, Kota",-1.639427,103.5487296,
170,PR Ade Nila Kandi,"JL.HM.ADAM MALIK RT.40 RW.01, Thehok, Selatan, Kota",-1.6339029,103.6208281,
171,PR Ade Putri Suryani,"JEMBATAN MAS, Jembatan Mas, Pemayung",-1.6039814,103.3724682,
172,PR Ade Wahyuni,"Jl. KH.A. MAJID, Tahtul Yaman, Pelayangan, Kota",-1.5684526,103.6247586,
173,PR Adis Fitria,"Jl sultan Hasanuddin RT.33 No.153, Talang Bakung, Paal Merah, Kota",-1.6320285,103.6556093,
174,PR Adri,"Sungai Nilau, Sungai Nilau, Sungai Manau",-2.1416489,101.9747534,
175,PR Afik Muawanah,"Jl. Mujahir, Muara Delang, Tabir Selatan",-1.9762567,102.390977,
176,PR Afkaa,"JL. NELAYAN RT.09 RW.03, Tanjungsolok, Kuala",-1.0233937,103.8042382,
177,PT Afresh Indonesia,"Desa Kasang Kota Karang, Desa Kasang Kota Karang, Kumpeh Ulu, Kabupaten Muaro",-1.5873937,103.682555,
178,PR Afridawati,"Tanjung Rambai RT. 003, Gunungkembang, Sarolangun",-2.3296064,102.7853522,
179,PR Afrilia Zirni,"Air Batu, Air Batu, Renah Pembarap",-2.1835099,102.1518372,
180,PR Afrilyan Pradipta,"Perum Citra Mutiara Blok A04 Kel Kenali Asam Kec Kota Baru Kota, Kenali Asam Atas, Kota Baru, Kota",-1.6583238,103.5813627,
181,PR Afriyanti,"Jl. Gulama Bulat, Muara Delang, Tabir Selatan",-1.9814722,102.3889933,
182,PR Afriyeni,"Muara Jernih, Muara Jernih, Tabir Ulu",-1.9292474,102.1575544,
183,PR Agrien Furniture,"Jln. Yos Sudarso Desa Gedang, Gedang, Sungai Penuh",-2.061763,101.4007275,
184,PT AGRINDO INDAH PERSADA,"JL.LINTAS SUMATERA KM.13, Tambang Baru, Tabir Lintas",-1.9691304,102.2849585,
185,PT Agro Mitra Madani,"Jln WKS Km 11 Desa Talang Makmur, Tebing Tinggi, Tebing Tinggi",-1.049791,103.0970282,
186,PT Agro Mitra Madani,"JL. WKS KM.11 DESA TALANG MAKMUR, TEBING TINGGI, TEBING TINGGI",-1.049791,103.0970282,
187,PR Agus Mariyanto,"JL. MARGODADI, Desa Teluk Singkawang Kec. Sumay Kab. Tebo, Teluk Singkawang, Sumay",-1.4352144,102.3581915,
188,PR Agus Mita Sari,"Bungo Tanjung, Bungo Tanjung, Pangkalan Jambu",-2.2195919,101.8606603,
189,PR Agus Rohimawati,"Jalan Imam Bonjol Lrg. Karya RT.12 RW.01, Talang Babat, Muara Sabak Barat",-1.2191012,103.8158299,
190,PR Agus Wantoro,"Jl. Gulama Bulat, Muara Delang, Tabir Selatan",-1.9814722,102.3889933,
191,PR Agustina,"JL. GURU MUHTAR RT.17, Jelutung, Jelutung, Kota",-1.6155097,103.6206873,
192,PR Agustoni,"PERUM. BOUGENVILLE BLOK CM 01 RT 32, Kenali Besar, Alam Barajo, Kota",-1.628478,103.5454807,
193,PR Ahmad Adiyaat Alqarni,"Jl. Pelita, RT. 03, Desa Talang Lindung, Kecamatan Sungai Bungkal, Sungai Penuh, Sungai Penuh",-2.0811258,101.3816788,
194,PR Ahmad Darmadi,"Prum Kopi Jaya 3 blok.A Rt.05 No.01/02, Lingkar Selatan, Paal Merah, Kota",-1.6542328,103.6288398,
195,PR Ahmad Fauzi,"Jalan Parit Palembang, Kuala Baru, Seberang Kota",-0.7788357,103.4627375,
196,PR Ahmad Jainul Abidin,"Desa Tanjung Aur Seberang, Tanjung Aur Seberang, Serai Serumpun",-1.2641972,102.3063052,
197,PR Ahmad Ramadhanus,"JL.PRATU ANWIR KOMPLEK ARTA ULI UTAMA RT.36, Thehok, Selatan, Kota",-1.6338603,103.6286363,
198,PR Ahmad Supriadi,"Durian Batakuk, Durian Batakuk, Renah Pembarap",-2.045141,102.0318456,
199,PR Ahmad Tarmizi,"Jl. H. Badar Rt 23 Kel. Pasir Putih Kec.  Selatan, Pasir Putih, Selatan, Kota",-1.6192363,103.6346618,
200,PR Ahmad Taslim,"Aur Gading RT. 007, Aur, Sarolangun",-2.2893955,102.7077668,
201,PR A. Kadir,"Dusun II Kelurahan Ulak Teberau, Ulak Teberau, Lawang Wetan",-2.7235278,103.6767958,
202,PR Abdan Syakuro,"Napal Rt.00 Rw.00  Desa Napal, Napal, Lawang Wetan",-2.7985201,103.6854812,
203,PR Abdullah,"JL KIRAP REMAJA, Desa/Kelurahan Air Lintang, Kec. Muara Enim, Kab. Muara Enim, Provinsi, Air Lintang, Muara Enim",-3.6751036,103.7729143,
204,PR Ade Ardani Putri,"Jl. LET MUKMIN NO 850, Sungai Pangeran, Ilir Timur I",-2.9784514,104.7537525,
205,PR Adhika Putra Nusantara,"JALAN BAY SALIM NO. 212, Sekip Jaya, Kemuning",-2.9685238,104.7577522,
206,CV Aditya Karya Kencana,"JL. AKBP. HM. AMIN NO. 38 (SERELO) KELURAHAN 18 ILIR, Ilir, Ilir Timur I",-2.9852579,104.7572998,
207,PR Adrian Febi,"Dusun I RT 004 Rw 000, Seratus Lapan, Babat Supat",-2.7623233,104.0764367,
208,PR Adzkia Safitri,"Komplek Citra Grand City blok D 10 no 8, Talang Kelapa, Alang-alang Lebar",-2.92989,104.68439,
209,PT Aek Tarum,"Desa Sumber Baru, -, Mesuji Raya",-3.8377412,104.9914601,
210,PT Agri Indomas,"Jl. Mayzen Komp Pusri, Sei Selayur, Kalidoni",-2.9688213,104.8086782,0711721111
211,PT Agro Prabu Mastari,"Jalan Kerinci Ujung No.12 RT.003 RW.006, Muara Dua, Prabumulih Timur",-3.4155756,104.2551812,
